"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","EDUTRY","25_34","PC_AGE","A","2019",42.176826,
"ISL","EDUTRY","25_34","PC_AGE","A","2020",38.304203,
"ISL","EDUTRY","25_34","PC_AGE","A","2021",41.92347,
"ISL","EDUTRY","25_34","PC_AGE","A","2022",40.932377,
"IRL","EDUTRY","25_34","PC_AGE","A","2019",55.44936,
"IRL","EDUTRY","25_34","PC_AGE","A","2020",58.383801,
"IRL","EDUTRY","25_34","PC_AGE","A","2021",62.884991,
"IRL","EDUTRY","25_34","PC_AGE","A","2022",63.269035,
"ITA","EDUTRY","25_34","PC_AGE","A","2019",27.931559,
"ITA","EDUTRY","25_34","PC_AGE","A","2020",28.628069,
"ITA","EDUTRY","25_34","PC_AGE","A","2021",28.267422,
"ITA","EDUTRY","25_34","PC_AGE","A","2022",29.203739,
"JPN","EDUTRY","25_34","PC_AGE","A","2019",61.514194,
"JPN","EDUTRY","25_34","PC_AGE","A","2020",63.54916,
"JPN","EDUTRY","25_34","PC_AGE","A","2021",64.814812,
"JPN","EDUTRY","25_34","PC_AGE","A","2022",65.682365,
"KOR","EDUTRY","25_34","PC_AGE","A","2019",69.802818,
"KOR","EDUTRY","25_34","PC_AGE","A","2020",69.812752,
"KOR","EDUTRY","25_34","PC_AGE","A","2021",69.288513,
"KOR","EDUTRY","25_34","PC_AGE","A","2022",69.580132,
"LUX","EDUTRY","25_34","PC_AGE","A","2019",54.989532,
"LUX","EDUTRY","25_34","PC_AGE","A","2020",58.153271,
"LUX","EDUTRY","25_34","PC_AGE","A","2021",63.120159,
"LUX","EDUTRY","25_34","PC_AGE","A","2022",60.034607,
"MEX","EDUTRY","25_34","PC_AGE","A","2019",23.587111,
"MEX","EDUTRY","25_34","PC_AGE","A","2020",25.290871,
"MEX","EDUTRY","25_34","PC_AGE","A","2021",27.056374,
"MEX","EDUTRY","25_34","PC_AGE","A","2022",27.271296,
"NLD","EDUTRY","25_34","PC_AGE","A","2019",49.565659,
"NLD","EDUTRY","25_34","PC_AGE","A","2020",52.15403,
"NLD","EDUTRY","25_34","PC_AGE","A","2021",55.604595,
"NLD","EDUTRY","25_34","PC_AGE","A","2022",56.420319,
"NZL","EDUTRY","25_34","PC_AGE","A","2019",43.792194,
"NZL","EDUTRY","25_34","PC_AGE","A","2020",43.913631,
"NZL","EDUTRY","25_34","PC_AGE","A","2021",45.316936,
"NZL","EDUTRY","25_34","PC_AGE","A","2022",44.085281,
"NOR","EDUTRY","25_34","PC_AGE","A","2019",48.658932,
"NOR","EDUTRY","25_34","PC_AGE","A","2020",50.841923,
"NOR","EDUTRY","25_34","PC_AGE","A","2021",55.034714,
"NOR","EDUTRY","25_34","PC_AGE","A","2022",56.427605,
"POL","EDUTRY","25_34","PC_AGE","A","2019",43.484364,
"POL","EDUTRY","25_34","PC_AGE","A","2020",42.433945,
"POL","EDUTRY","25_34","PC_AGE","A","2021",40.644897,
"POL","EDUTRY","25_34","PC_AGE","A","2022",40.499668,
"PRT","EDUTRY","25_34","PC_AGE","A","2019",37.36721,
"PRT","EDUTRY","25_34","PC_AGE","A","2020",41.910061,
"PRT","EDUTRY","25_34","PC_AGE","A","2021",47.453522,
"PRT","EDUTRY","25_34","PC_AGE","A","2022",44.435947,
"SVK","EDUTRY","25_34","PC_AGE","A","2019",39.158154,
"SVK","EDUTRY","25_34","PC_AGE","A","2020",39.042641,
"SVK","EDUTRY","25_34","PC_AGE","A","2021",39.497326,
"SVK","EDUTRY","25_34","PC_AGE","A","2022",39.106579,
"ESP","EDUTRY","25_34","PC_AGE","A","2019",46.508266,
"ESP","EDUTRY","25_34","PC_AGE","A","2020",47.379524,
"ESP","EDUTRY","25_34","PC_AGE","A","2021",48.726418,
"ESP","EDUTRY","25_34","PC_AGE","A","2022",50.514442,
"SWE","EDUTRY","25_34","PC_AGE","A","2019",48.373196,
"SWE","EDUTRY","25_34","PC_AGE","A","2020",49.133411,
"SWE","EDUTRY","25_34","PC_AGE","A","2021",49.219364,
"SWE","EDUTRY","25_34","PC_AGE","A","2022",52.304203,
"CHE","EDUTRY","25_34","PC_AGE","A","2019",52.695705,
"CHE","EDUTRY","25_34","PC_AGE","A","2020",52.972816,
"CHE","EDUTRY","25_34","PC_AGE","A","2021",52.271042,
"CHE","EDUTRY","25_34","PC_AGE","A","2022",51.264656,
"TUR","EDUTRY","25_34","PC_AGE","A","2019",35.325356,
"TUR","EDUTRY","25_34","PC_AGE","A","2021",39.825943,
"TUR","EDUTRY","25_34","PC_AGE","A","2022",41.249073,
"GBR","EDUTRY","25_34","PC_AGE","A","2019",51.809521,
"GBR","EDUTRY","25_34","PC_AGE","A","2020",55.833538,
"GBR","EDUTRY","25_34","PC_AGE","A","2021",57.473328,
"GBR","EDUTRY","25_34","PC_AGE","A","2022",57.699051,
"USA","EDUTRY","25_34","PC_AGE","A","2019",50.380188,
"USA","EDUTRY","25_34","PC_AGE","A","2020",51.856071,
"USA","EDUTRY","25_34","PC_AGE","A","2021",51.1675,
"USA","EDUTRY","25_34","PC_AGE","A","2022",51.255699,
"ARG","EDUTRY","25_34","PC_AGE","A","2019",18.856657,
"ARG","EDUTRY","25_34","PC_AGE","A","2020",18.214817,
"ARG","EDUTRY","25_34","PC_AGE","A","2021",19.026117,
"BRA","EDUTRY","25_34","PC_AGE","A","2019",21.031229,
"BRA","EDUTRY","25_34","PC_AGE","A","2020",22.672012,
"BRA","EDUTRY","25_34","PC_AGE","A","2021",23.025974,
"BRA","EDUTRY","25_34","PC_AGE","A","2022",23.191143,
"CHL","EDUTRY","25_34","PC_AGE","A","2020",40.50774,
"EST","EDUTRY","25_34","PC_AGE","A","2019",42.760071,
"EST","EDUTRY","25_34","PC_AGE","A","2020",43.145798,
"EST","EDUTRY","25_34","PC_AGE","A","2021",43.179394,
"EST","EDUTRY","25_34","PC_AGE","A","2022",43.907894,
"IND","EDUTRY","25_34","PC_AGE","A","2019",19.491144,
"IND","EDUTRY","25_34","PC_AGE","A","2020",20.502251,
"IND","EDUTRY","25_34","PC_AGE","A","2022",20.460045,
"IDN","EDUTRY","25_34","PC_AGE","A","2019",17.468817,
"IDN","EDUTRY","25_34","PC_AGE","A","2020",18.11237,
"IDN","EDUTRY","25_34","PC_AGE","A","2021",18.66452,
"IDN","EDUTRY","25_34","PC_AGE","A","2022",17.929499,
"ISR","EDUTRY","25_34","PC_AGE","A","2019",47.04248,
"ISR","EDUTRY","25_34","PC_AGE","A","2020",47.257065,
"ISR","EDUTRY","25_34","PC_AGE","A","2021",46.008179,
"ISR","EDUTRY","25_34","PC_AGE","A","2022",46.246853,
"SVN","EDUTRY","25_34","PC_AGE","A","2019",44.105736,
"SVN","EDUTRY","25_34","PC_AGE","A","2020",45.425419,
"SVN","EDUTRY","25_34","PC_AGE","A","2021",47.94054,
"SVN","EDUTRY","25_34","PC_AGE","A","2022",47.295303,
"ZAF","EDUTRY","25_34","PC_AGE","A","2019",14.487103,
"ZAF","EDUTRY","25_34","PC_AGE","A","2020",14.853134,
"ZAF","EDUTRY","25_34","PC_AGE","A","2022",13.107254,
"OAVG","EDUTRY","25_34","PC_AGE","A","2019",44.799229,
"OAVG","EDUTRY","25_34","PC_AGE","A","2020",45.877038,
"OAVG","EDUTRY","25_34","PC_AGE","A","2021",47.117463,
"OAVG","EDUTRY","25_34","PC_AGE","A","2022",47.416354,
"LVA","EDUTRY","25_34","PC_AGE","A","2019",43.811146,
"LVA","EDUTRY","25_34","PC_AGE","A","2020",44.246166,
"LVA","EDUTRY","25_34","PC_AGE","A","2021",45.504379,
"LVA","EDUTRY","25_34","PC_AGE","A","2022",45.876965,
"COL","EDUTRY","25_34","PC_AGE","A","2019",30.603748,
"COL","EDUTRY","25_34","PC_AGE","A","2020",30.753975,
"COL","EDUTRY","25_34","PC_AGE","A","2021",32.028698,
"COL","EDUTRY","25_34","PC_AGE","A","2022",34.148579,
"LTU","EDUTRY","25_34","PC_AGE","A","2019",55.187374,
"LTU","EDUTRY","25_34","PC_AGE","A","2020",56.18409,
"LTU","EDUTRY","25_34","PC_AGE","A","2021",57.479141,
"LTU","EDUTRY","25_34","PC_AGE","A","2022",58.153095,
"CRI","EDUTRY","25_34","PC_AGE","A","2019",31.346508,
"CRI","EDUTRY","25_34","PC_AGE","A","2020",32.465542,
"CRI","EDUTRY","25_34","PC_AGE","A","2021",30.260878,
"CRI","EDUTRY","25_34","PC_AGE","A","2022",30.993347,
"G20","EDUTRY","25_34","PC_AGE","A","2019",38.027627,
"G20","EDUTRY","25_34","PC_AGE","A","2020",39.510125,
"G20","EDUTRY","25_34","PC_AGE","A","2022",41.813471,
"BGR","EDUTRY","25_34","PC_AGE","A","2022",33.827415,
"ROU","EDUTRY","25_34","PC_AGE","A","2021",23.330326,
"ROU","EDUTRY","25_34","PC_AGE","A","2022",24.69556,
